"Path","Status","Confidence","Reason","Suggestion","SizeBytes","Modified"
"docs\CLEANUP_ANALYZER_2.19_RC2A.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.19\notes\","305","2026-07-15 14:59:28"
"docs\CLEANUP_ANALYZER_2.19_RC2B.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.19\notes\","316","2026-07-15 15:03:57"
"docs\CLEANUP_INVENTORY_2.19_RC1.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.19\notes\","1538","2026-07-15 14:16:46"
"docs\IDEAS_2.19_RC1_APPEND.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.19\notes\","1207","2026-07-15 14:16:46"
"docs\OBS_ASSET_DISPLAY_IDEA_2.18_APPEND.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.18\notes\","1222","2026-07-15 12:26:57"
"docs\QUICK_CARDS_WORKFLOW_2.16.9_RC1.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.16\notes\","278","2026-07-14 18:08:19"
"docs\RELEASE_CHECKLIST.md","ARCHIVE_CANDIDATE","HIGH","Historisches Release-Werkzeug oder Release-Dokument.","docs\history\misc\release\","384","2026-07-13 11:43:44"
"docs\ROADMAP_2.19_RC1_APPEND.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.19\notes\","1187","2026-07-15 14:16:46"
"docs\STREAM_WORKFLOW_2.18_RC1.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.18\notes\","1028","2026-07-15 12:26:57"
"docs\STREAM_WORKFLOW_2.18_RC1A.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.18\notes\","780","2026-07-15 12:57:25"
"docs\STREAM_WORKFLOW_2.18_RC1B.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.18\notes\","528","2026-07-15 13:11:18"
"docs\STREAM_WORKFLOW_2.18_RC1C.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.18\notes\","715","2026-07-15 13:22:17"
"docs\STREAM_WORKFLOW_2.18_RC1D.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.18\notes\","393","2026-07-15 13:30:30"
"docs\STREAM_WORKFLOW_2.18_RC1E.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.18\notes\","361","2026-07-15 13:39:05"
"docs\VOICE_CONTROL_2.16.7_RC1_APPEND.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.16\notes\","578","2026-07-14 12:40:27"
"docs\VOICE_QUICK_CARDS_2.16.8_RC1A.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.16\notes\","590","2026-07-14 14:09:02"
"docs\VOICE_QUICK_CARDS_2.16.8_RC1B.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.16\notes\","744","2026-07-14 14:40:40"
"docs\VOICE_QUICK_CARDS_2.16.8_RC1C.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.16\notes\","467","2026-07-14 15:26:25"
"FINALIZE_RELEASE_2.16.6.bat","ARCHIVE_CANDIDATE","HIGH","Historisches Release-Werkzeug oder Release-Dokument.","docs\history\2.16\release\","316","2026-07-14 12:06:10"
"INSTALLIEREN_UND_TESTEN_2.16.7_RC1.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.16\install\","1174","2026-07-14 12:40:27"
"INSTALLIEREN_UND_TESTEN_2.16.8_RC1A.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.16\install\","408","2026-07-14 14:09:02"
"INSTALLIEREN_UND_TESTEN_2.16.8_RC1B.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.16\install\","393","2026-07-14 14:40:40"
"INSTALLIEREN_UND_TESTEN_2.16.8_RC1C.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.16\install\","316","2026-07-14 15:26:25"
"INSTALLIEREN_UND_TESTEN_2.16.9_RC1.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.16\install\","215","2026-07-14 18:08:19"
"INSTALLIEREN_UND_TESTEN_2.17_RC1.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.17\install\","630","2026-07-14 18:29:47"
"INSTALLIEREN_UND_TESTEN_2.18_RC1.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.18\install\","625","2026-07-15 12:26:57"
"INSTALLIEREN_UND_TESTEN_2.18_RC1A.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.18\install\","591","2026-07-15 12:57:25"
"INSTALLIEREN_UND_TESTEN_2.18_RC1B.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.18\install\","853","2026-07-15 13:11:18"
"INSTALLIEREN_UND_TESTEN_2.18_RC1C.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.18\install\","969","2026-07-15 13:22:17"
"INSTALLIEREN_UND_TESTEN_2.18_RC1D.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.18\install\","435","2026-07-15 13:30:30"
"INSTALLIEREN_UND_TESTEN_2.18_RC1E.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.18\install\","445","2026-07-15 13:39:05"
"INSTALLIEREN_UND_TESTEN_2.19_RC1.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.19\install\","1542","2026-07-15 14:16:46"
"INSTALLIEREN_UND_TESTEN_2.19_RC2_ANALYZER.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.19\install\","1241","2026-07-15 14:48:23"
"INSTALLIEREN_UND_TESTEN_2.19_RC2A_ANALYZER_FIX.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.19\install\","1524","2026-07-15 14:59:28"
"INSTALLIEREN_UND_TESTEN_2.19_RC2B_ANALYZER_PATH_FIX.txt","ARCHIVE_CANDIDATE","HIGH","Versionsgebundene Installations- oder RC/Test-Anleitung.","docs\history\2.19\install\","1386","2026-07-15 15:03:57"
"RELEASE_2.16.6.md","ARCHIVE_CANDIDATE","HIGH","Historisches Release-Werkzeug oder Release-Dokument.","docs\history\2.16\release\","1397","2026-07-14 12:06:10"
"data\asset_meta.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","573","2026-07-14 18:36:44"
"data\banner_profiles.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","13621","2026-07-13 11:43:43"
"data\card_values.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1561","2026-07-14 12:09:13"
"data\config.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1321","2026-07-15 14:19:53"
"data\favorites.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","467","2026-07-13 11:43:43"
"data\quick_cards_workflow.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","143","2026-07-14 18:13:56"
"data\README.md","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","247","2026-07-13 11:43:43"
"data\template_profiles.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","8576","2026-07-13 11:43:43"
"data\templates\.deleted_templates","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","162","2026-07-13 11:43:43"
"data\templates\.legacy_import_done","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","4","2026-07-13 11:43:43"
"data\templates\Default_Stream_Plan\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2473776","2026-07-13 11:43:43"
"data\templates\Default_Stream_Plan\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","799","2026-07-14 12:47:42"
"data\templates\New_08072026\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2131526","2026-07-13 11:43:43"
"data\templates\New_08072026\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1096","2026-07-13 11:43:43"
"data\templates\New_Template\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2559626","2026-07-13 11:43:43"
"data\templates\New_Template\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1087","2026-07-13 11:43:43"
"data\templates\next_show_test_test\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2131526","2026-07-13 11:43:44"
"data\templates\next_show_test_test\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1358","2026-07-13 11:43:44"
"data\templates\now_showing\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1800039","2026-07-13 11:43:44"
"data\templates\now_showing\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2718","2026-07-13 11:43:44"
"data\templates\Test\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2131526","2026-07-13 11:43:44"
"data\templates\Test\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1080","2026-07-13 11:43:44"
"data\templates\test_zoom_etc\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2131526","2026-07-13 11:43:44"
"data\templates\test_zoom_etc\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1370","2026-07-13 11:43:44"
"data\templates\this_week\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2155886","2026-07-13 11:43:44"
"data\templates\this_week\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","3388","2026-07-13 11:43:44"
"data\templates\zoom_test_2\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2344439","2026-07-13 11:43:44"
"data\templates\zoom_test_2\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1093","2026-07-13 11:43:44"
"data\templates\zoom_test_3\background.png","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","2131526","2026-07-13 11:43:44"
"data\templates\zoom_test_3\template.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","1464","2026-07-13 11:43:44"
"data\workspace_state.json","REVIEW","MEDIUM","Laufzeit- oder Benutzerdaten; nicht automatisch archivieren.","Behalten, bis Nutzung geklärt ist","176","2026-07-15 14:36:38"
"docs\00_PROJECT_VISION.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","688","2026-07-13 11:43:44"
"docs\01_DEVELOPMENT_RULES.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","452","2026-07-13 11:43:44"
"docs\01_GITHUB_SETUP.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","220","2026-07-13 11:43:44"
"docs\02_PROJECT_BOARD.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","189","2026-07-13 11:43:44"
"docs\03_LABELS.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","190","2026-07-13 11:43:44"
"docs\04_MILESTONES.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","146","2026-07-13 11:43:44"
"docs\05_GITHUB_WORKFLOW.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","265","2026-07-13 11:43:44"
"docs\batch_import_sample.csv","REVIEW","LOW","Keine sichere automatische Klassifikation.","Manuell prüfen","124","2026-07-13 11:43:44"
"docs\BUILD.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","53","2026-07-13 11:43:44"
